Grammar Point,Meaning,Formation,Example (Japanese),Example (Romaji),Example (English),JLPT Level
～にしろ～にしろ (〜ni shiro 〜ni shiro),"Expresses 'either way', 'in any case', 'be it...', used when presenting two alternatives.","Verb (dictionary form or negative form) + にしろ, い-Adjective + にしろ, な-Adjective + にしろ, Noun + にしろ",行くにしろ行かないにしろ、早く決めてください。,"Iku ni shiro ikanai ni shiro, hayaku kimete kudasai.","Either way, whether you go or not, please decide quickly.",JLPT N2
～につけ～につけ (〜ni tsuke 〜ni tsuke),"Expresses 'whenever', 'each time', 'whether...or'.","Verb-casual + につけ, い-Adjective + につけ, な-Adjective + につけ, Noun + につけ",外国へ行くにつけ、勉強するにつけ、言葉の壁にぶつかる。,"Gaikoku e iku ni tsuke, benkyou suru ni tsuke, kotoba no kabe ni butsukaru.","Whether I go abroad or study, I always encounter language barriers.",JLPT N2
～につれて (〜ni tsurete),"Expresses the idea that as one thing changes, so does another; 'as', 'along with', 'while'.","Verb (dictionary form) + につれて, Noun + につれて",年を取るにつれて、健康に気をつけなければなりません。,"Toshi wo toru ni tsurete, kenkou ni ki wo tsukenakereba narimasen.","As you get older, you have to pay more attention to your health.",JLPT N2
～にともなって (〜ni tomonatte),Expresses 'along with' or 'as a result of'; indicates that one event occurs along with another.,"Noun (event) + にともなって, Verb-casual + にともなって",人口が増えるにともなって、交通渋滞も悪化しています。,"Jinkou ga fueru ni tomonatte, koutsuu juutai mo akka shiteimasu.","As the population increases, traffic congestion is also getting worse.",JLPT N2
～にほかならない (〜ni hoka naranai),Express that something is 'nothing but' or 'none other than'.,"Verb-plain + にほかならない, い-Adjective + にほかならない, な-Adjective + にほかならない, Noun + にほかならない",彼の成功は努力にほかならない。,Kare no seikou wa doryoku ni hoka naranai.,His success is nothing but hard work.,JLPT N2
～にもかかわらず (〜ni mo kakawarazu),"Expresses 'despite', 'in spite of' or 'even though'.","Verb (any tense/form) + にもかかわらず, い-Adjective + にもかかわらず, な-Adjective (or Noun) + であるにもかかわらず",忙しいにもかかわらず、彼は毎日運動しています。,"Isogashii ni mo kakawarazu, kare wa mainichi undou shiteimasu.","Despite being busy, he exercises every day.",JLPT N2
～により (〜ni yori),"Indicates the reason, method, or means by which something happens; 'by', 'through', 'due to'.","Noun + により, Verb + により",この事故は運転手の不注意により起こりました。,Kono jiko wa untenshu no fuchuui ni yori okorimashita.,This accident occurred due to the driver's carelessness.,JLPT N2
～にわたって (〜ni watatte),"Indicates a range or extent; 'over', 'throughout', 'across'.",Noun + にわたって,彼女は一年にわたって日本語を勉強しました。,Kanojo wa ichinen ni watatte nihongo wo benkyou shimashita.,She studied Japanese for over a year.,JLPT N2
～に先立ち (〜ni sakidachi),"Express an action or event that occurs before another; 'before', 'prior to', 'preceding'.",Noun + に先立ち / Verb-dictionary form + に先立って,会議に先立ち、資料を確認しましょう。,"Kaigi ni sakidachi, shiryou wo kakunin shimashou.","Before the meeting, let's check the materials.",JLPT N2
～に反して (〜ni hanshite),"Contrary to, against, in spite of",Noun + に反して,天気予報に反して、今日は雨が降っている。,"Tenki yohou ni hanshite, kyou wa ame ga futte iru.","Contrary to the weather forecast, it is raining today.",JLPT N2
～に基づいて (〜ni motozuite),"Based on, according to, depending on",Noun + に基づいて,研究結果に基づいて、新しい治療法が開発されました。,"Kenkyuu kekka ni motozuite, atarashii chiryouhou ga kaihatsu saremashita.",A new treatment method was developed based on the research results.,JLPT N2
～に対して (〜ni taishite),"Expresses 'toward', 'against', 'in contrast to', or 'in response to'.",Noun + に対して,日本の文化に対して尊敬の念を持っています。,Nihon no bunka ni taishite sonkei no nen wo motte imasu.,I have a sense of respect towards Japanese culture.,JLPT N2
～に応えて (〜ni kotaete),Responding to; living up to; meeting.,Noun + に応えて,お客様の要望に応えて、新しいメニューを作りました。,"Okyaku-sama no youbou ni kotaete, atarashii menyuu o tsukurimashita.","Responding to the customers' requests, we created a new menu.",JLPT N2
～に応じて (〜ni oujite),"In accordance with, depending on, in response to.",Noun + に応じて,仕事の量に応じて給料が変わります。,Shigoto no ryou ni oujite kyuuryou ga kawarimasu.,The salary changes depending on the amount of work.,JLPT N2
～に決まっている (〜ni kimatte iru),"Express certainty; 'it is obvious', 'it must be', 'no doubt'.","Verb-casual + に決まっている, い-Adjective + に決まっている, な-Adjective + だに決まっている, Noun + だに決まっている",こんなに暑い日に運動したら、汗をかくに決まっている。,"Konna ni atsui hi ni undou shitara, ase wo kaku ni kimatte iru.",It's obvious that you'll sweat if you exercise on such a hot day.,JLPT N2
～に沿って (〜ni sotte),Along with; in accordance with; following,Noun + に沿って,川に沿って歩いていくと、橋が見えてきます。,"Kawa ni sotte aruite iku to, hashi ga miete kimasu.","If you walk along the river, you will see a bridge.",JLPT N2
～に過ぎない (〜ni suginai),"Expresses that something is 'just' or 'nothing more than'; 'merely', 'only', 'simply'.","Verb-casual + に過ぎない, い-Adjective + に過ぎない, な-Adjective + に過ぎない, Noun + に過ぎない",彼の失敗はミスに過ぎない。,Kare no shippai wa misu ni suginai.,His failure is nothing more than a mistake.,JLPT N2
～に関わって (〜ni kakawatte),"Indicates that something is related to or influenced by a certain matter or factor; 'concerning', 'in connection with', 'regarding'.","Verb-casual + に関わって, い-Adjective + に関わって, な-Adjective + に関わって, Noun + に関わって",試験の内容に関わって、先生に質問があります。,"Shiken no naiyou ni kakawatte, sensei ni shitsumon ga arimasu.",I have a question for the teacher regarding the content of the exam.,JLPT N2
～に限り (〜ni kagiri),"Expresses limitation; 'only', 'limited to', 'exclusive to'.",Noun + に限り,今日に限り、この商品が半額です。,"Kyou ni kagiri, kono shouhin ga hangaku desu.","Today only, this product is half price.",JLPT N2
～に際して (〜ni saishite),"Used to express the moment or the occasion of an action; 'at the time of', 'upon', 'when'.",Noun + に際して,卒業式に際して、校長先生がスピーチをします。,"Sotsugyoushiki ni saishite, kouchou sensei ga supiichi wo shimasu.","At the graduation ceremony, the principal gives a speech.",JLPT N2
～ねばならない (〜neba naranai),"Expresses obligation or necessity; 'must', 'have to', 'need to'.",Verb-ない form → (remove い) → ね + ばならない,試験に合格するために、もっと勉強せねばならない。,"Shiken ni goukaku suru tame ni, motto benkyou se neba naranai.","To pass the exam, I must study more.",JLPT N2
～のみならず～も (〜nomi narazu 〜mo),Not only... but also; as well as.,"Verb-casual + のみならず + (も), い-Adjective + のみならず + (も), な-Adjective + のみならず + (も), Noun + のみならず + (も)",彼は英語のみならず、フランス語も話せます。,"Kare wa eigo nomi narazu, furansugo mo hanasemasu.",He can speak not only English but also French.,JLPT N2
～のももっともだ (〜no mo mottomo da),Express that something is understandable or reasonable.,"Verb-casual + のももっともだ, い-Adjective + のももっともだ, な-Adjective + なのももっともだ, Noun + なのももっともだ",彼が緊張するのももっともだ。,Kare ga kinchou suru no mo mottomo da.,It's understandable that he is nervous.,JLPT N2
〜の上では (〜no ue de wa),"Indicates 'on the basis of', 'in terms of', or 'from the standpoint of'.",Noun or Phrase + の上では,効率の上では、この方法が最適です。,"Kouritsu no ue de wa, kono houhou ga saiteki desu.","In terms of efficiency, this method is the best.",JLPT N2
～の下で (〜no shita de),Under the context or condition of; under.,"Verb-casual + の下で, い-Adjective + の下で, な-Adjective + の下で, Noun + の下で",先生の下で勉強するのはとても楽しいです。,Sensei no shita de benkyou suru no wa totemo tanoshii desu.,Studying under the teacher is very enjoyable.,JLPT N2
～ばかりか〜も (〜bakari ka 〜 mo),Expresses 'not only... but also'; emphasizing the extent of something.,Noun/Verb/Adjective + ばかりか + Noun/Verb/Adjective + も,彼はかわいいばかりか、賢くもある。,"Kare wa kawaii bakari ka, kashikoku mo aru.",He is not only cute but also smart.,JLPT N2
～ばかりだ (〜bakari da),"Express a continuing state or negative tendency; 'just', 'only', 'always'.","Verb-てform + ばかりだ, い-Adjective + ばかりだ, な-Adjective + ばかりだ, Noun + ばかりだ",彼は文句を言ってばかりだ。,Kare wa monku wo itte bakari da.,He is always complaining.,JLPT N2
～ばかりに (〜bakari ni),"Express an undesired situation or result caused by something; 'simply because', 'due to', 'on account of'.","Verb-casual + ばかりに, い-Adjective + ばかりに, な-Adjective + なばかりに, Noun + なばかりに",雨が降ったばかりに、試合が中止になりました。,"Ame ga futta bakari ni, shiai ga chuushi ni narimashita.","Simply because it rained, the match was cancelled.",JLPT N2
～ば～というものでもない (〜ba 〜to iu mono demo nai),"Not necessarily true that if A, then B.",Verb-ば form + というものでもない,高いものがいいものばかりではない。,Takai mono ga ii mono bakari de wa nai.,Expensive things are not always good.,JLPT N2
